textbox22
generated on 10/03/2019 08:40:07 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Canada,Region of the Americas of WHO,North America,2012,48,2012-11-26,2012-12-02,3543,3543,0,4,217,0,186,407,0,0,11,11,418,,No Report
Canada,Region of the Americas of WHO,North America,2012,49,2012-12-03,2012-12-09,4593,4593,0,14,364,0,423,801,0,0,29,29,830,,No Report
Canada,Region of the Americas of WHO,North America,2012,50,2012-12-10,2012-12-16,6209,6209,0,18,536,0,917,1471,0,0,49,49,1520,,No Report
Canada,Region of the Americas of WHO,North America,2012,51,2012-12-17,2012-12-23,1157,1157,0,1,80,0,141,222,0,0,9,9,231,,No Report
Canada,Region of the Americas of WHO,North America,2012,52,2012-12-24,2012-12-30,4176,4176,0,18,514,0,725,1257,0,0,48,48,1305,,No Report
Canada,Region of the Americas of WHO,North America,2013,1,2012-12-31,2013-01-06,11502,11502,0,43,954,0,2787,3784,0,0,73,73,3857,,No Report
Canada,Region of the Americas of WHO,North America,2013,2,2013-01-07,2013-01-13,12184,12184,0,68,1265,0,2396,3729,0,0,83,83,3812,,No Report
Canada,Region of the Americas of WHO,North America,2013,3,2013-01-14,2013-01-20,10496,10496,0,102,989,0,1792,2883,0,0,59,59,2942,,No Report
Canada,Region of the Americas of WHO,North America,2013,4,2013-01-21,2013-01-27,8618,8618,0,76,554,0,1297,1927,0,0,68,68,1995,,No Report
Canada,Region of the Americas of WHO,North America,2013,5,2013-01-28,2013-02-03,7121,7121,0,88,0,0,1148,1236,0,0,87,87,1323,,No Report
Canada,Region of the Americas of WHO,North America,2013,6,2013-02-04,2013-02-10,5860,5860,0,79,335,0,707,1121,0,0,107,107,1228,,No Report
Canada,Region of the Americas of WHO,North America,2013,7,2013-02-11,2013-02-17,6083,6083,0,64,230,0,574,868,0,0,122,122,990,,No Report
Canada,Region of the Americas of WHO,North America,2013,8,2013-02-18,2013-02-24,5300,5300,0,56,143,0,337,536,0,0,191,191,727,,No Report
Canada,Region of the Americas of WHO,North America,2013,9,2013-02-25,2013-03-03,5215,5215,0,88,104,0,385,577,0,0,284,284,861,,No Report
Canada,Region of the Americas of WHO,North America,2013,10,2013-03-04,2013-03-10,4553,4553,0,70,88,0,255,413,0,0,273,273,686,,No Report
Canada,Region of the Americas of WHO,North America,2013,11,2013-03-11,2013-03-17,3983,3983,0,47,51,0,166,264,0,0,278,278,542,,No Report
Canada,Region of the Americas of WHO,North America,2013,12,2013-03-18,2013-03-24,3990,3990,0,30,25,0,145,200,0,0,320,320,520,,No Report
Canada,Region of the Americas of WHO,North America,2013,13,2013-03-25,2013-03-31,3410,2410,0,30,18,0,93,141,0,0,316,316,457,,No Report
Canada,Region of the Americas of WHO,North America,2013,14,2013-04-01,2013-04-07,3861,3861,0,24,18,0,99,141,0,0,312,312,453,,No Report
Canada,Region of the Americas of WHO,North America,2013,15,2013-04-08,2013-04-14,3572,3572,0,27,11,0,73,111,0,0,360,360,471,,No Report
Canada,Region of the Americas of WHO,North America,2013,16,2013-04-15,2013-04-21,3517,3517,0,16,4,0,38,58,0,0,355,355,413,,No Report
Canada,Region of the Americas of WHO,North America,2013,17,2013-04-22,2013-04-28,3374,3374,0,29,11,0,27,67,0,0,67,67,134,,No Report
Canada,Region of the Americas of WHO,North America,2013,18,2013-04-29,2013-05-05,3092,3092,0,20,4,0,16,40,0,0,265,265,305,,No Report
Canada,Region of the Americas of WHO,North America,2013,19,2013-05-06,2013-05-12,2675,2675,0,13,6,0,12,31,0,0,198,198,229,,No Report
Canada,Region of the Americas of WHO,North America,2013,20,2013-05-13,2013-05-19,2382,2409,0,11,6,0,14,31,0,0,120,120,151,,No Report
Canada,Region of the Americas of WHO,North America,2013,21,2013-05-20,2013-05-26,1901,1901,0,4,2,0,5,11,0,0,64,64,75,,No Report
Canada,Region of the Americas of WHO,North America,2013,22,2013-05-27,2013-06-02,1976,1976,0,6,2,0,6,14,0,0,54,54,68,,No Report
Canada,Region of the Americas of WHO,North America,2013,23,2013-06-03,2013-06-09,1738,1738,0,0,4,0,5,9,0,0,26,26,35,,No Report
Canada,Region of the Americas of WHO,North America,2013,24,2013-06-10,2013-06-16,1624,1624,0,0,3,0,1,4,0,0,16,16,20,,No Report
Canada,Region of the Americas of WHO,North America,2013,25,2013-06-17,2013-06-23,1518,1518,0,0,2,0,4,6,0,0,6,6,12,,No Report
Canada,Region of the Americas of WHO,North America,2013,26,2013-06-24,2013-06-30,1395,1395,0,1,5,0,1,7,0,0,3,3,10,,No Report
Canada,Region of the Americas of WHO,North America,2013,27,2013-07-01,2013-07-07,1308,1308,0,1,3,0,4,8,0,0,1,1,9,,No Report
Canada,Region of the Americas of WHO,North America,2013,28,2013-07-08,2013-07-14,1444,1444,0,2,4,0,3,9,0,0,0,0,9,,No Report
Canada,Region of the Americas of WHO,North America,2013,29,2013-07-15,2013-07-21,1269,1269,0,0,5,0,3,8,0,0,2,2,10,,No Report
Canada,Region of the Americas of WHO,North America,2013,30,2013-07-22,2013-07-28,1129,1129,0,0,1,0,0,1,0,0,1,1,2,,No Report
Canada,Region of the Americas of WHO,North America,2013,31,2013-07-29,2013-08-04,1195,1195,0,1,0,0,0,1,0,0,0,0,1,,No Report
Canada,Region of the Americas of WHO,North America,2013,32,2013-08-05,2013-08-11,1052,1052,0,0,2,0,2,4,0,0,0,0,4,,No Report
Canada,Region of the Americas of WHO,North America,2013,33,2013-08-12,2013-08-18,1087,1087,0,4,1,0,0,5,0,0,1,1,6,,No Report
Canada,Region of the Americas of WHO,North America,2013,34,2013-08-19,2013-08-25,1040,1040,0,0,1,0,2,3,0,0,1,1,4,,No Report
Canada,Region of the Americas of WHO,North America,2013,35,2013-08-26,2013-09-01,1146,1146,0,4,0,0,2,6,0,0,1,1,7,,No Report
Canada,Region of the Americas of WHO,North America,2013,36,2013-09-02,2013-09-08,980,980,0,1,1,0,0,2,0,0,1,1,3,,No Report
Canada,Region of the Americas of WHO,North America,2013,37,2013-09-09,2013-09-15,1246,1246,0,0,0,0,2,2,0,0,2,2,4,,No Report
Canada,Region of the Americas of WHO,North America,2013,38,2013-09-16,2013-09-22,1432,1432,0,1,0,0,2,3,0,0,0,0,3,,No Report
Canada,Region of the Americas of WHO,North America,2013,39,2013-09-23,2013-09-29,1713,1713,0,1,1,0,1,3,0,0,0,0,3,,No Report
Canada,Region of the Americas of WHO,North America,2013,40,2013-09-30,2013-10-06,1847,1847,0,2,0,0,2,4,0,0,2,2,6,,No Report
Canada,Region of the Americas of WHO,North America,2013,41,2013-10-07,2013-10-13,1934,1934,0,2,2,0,1,5,0,0,2,2,7,,No Report
Canada,Region of the Americas of WHO,North America,2013,42,2013-10-14,2013-10-20,1803,1803,0,1,0,0,2,3,0,0,0,0,3,,No Report
Canada,Region of the Americas of WHO,North America,2013,43,2013-10-21,2013-10-27,2021,2021,0,1,9,0,3,13,0,0,8,8,21,,No Report
Canada,Region of the Americas of WHO,North America,2013,44,2013-10-28,2013-11-03,2488,2488,0,14,6,0,5,25,0,0,4,4,29,,No Report
Canada,Region of the Americas of WHO,North America,2013,45,2013-11-04,2013-11-10,2568,2568,0,19,10,0,8,37,0,0,5,5,42,,No Report
Canada,Region of the Americas of WHO,North America,2013,46,2013-11-11,2013-11-17,2562,2562,0,38,9,0,6,53,0,0,11,11,64,,No Report
Canada,Region of the Americas of WHO,North America,2013,47,2013-11-18,2013-11-24,2889,2889,0,38,7,0,9,54,0,0,11,11,65,,No Report
Canada,Region of the Americas of WHO,North America,2013,48,2013-11-25,2013-12-01,3090,3090,0,73,9,0,19,101,0,0,12,12,113,,No Report
Canada,Region of the Americas of WHO,North America,2013,49,2013-12-02,2013-12-08,3369,3369,0,145,12,0,40,197,0,0,14,14,211,,No Report
Canada,Region of the Americas of WHO,North America,2013,50,2013-12-09,2013-12-15,3751,3751,0,281,9,0,66,356,0,0,26,26,382,,No Report
Canada,Region of the Americas of WHO,North America,2013,51,2013-12-16,2013-12-22,4345,4345,0,503,15,0,161,679,0,0,33,33,712,,No Report
Canada,Region of the Americas of WHO,North America,2013,52,2013-12-23,2013-12-29,5083,5083,0,808,22,1,333,1164,0,0,38,38,1202,,No Report

